ID Commune;nb_faits;Année
01001;0.0;2021
01001;0.0;2016
01002;0.0;2021
01002;0.0;2016
01004;748.0;2021
01004;690.0;2016
01005;6.0;2021
01005;17.0;2016
01006;0.0;2021
01006;0.0;2016
01007;64.0;2021
01007;58.0;2016
01008;0.0;2021
01008;0.0;2016
01009;0.0;2021
01009;0.0;2016
01010;0.0;2021
01010;0.0;2016
01011;0.0;2021
01011;0.0;2016
01012;0.0;2021
01012;0.0;2016
01013;0.0;2021
01013;0.0;2016
01014;70.0;2021
01014;84.0;2016
01015;0.0;2021
01015;0.0;2016
01016;0.0;2021
01016;0.0;2016
01017;0.0;2021
01017;0.0;2016
01019;0.0;2021
01019;0.0;2016
01021;6.0;2021
01021;13.0;2016
01022;0.0;2021
01022;9.0;2016
01023;0.0;2021
01023;0.0;2016
01024;53.0;2021
01024;44.0;2016
01025;43.0;2021
01025;32.0;2016
01026;0.0;2021
01026;9.0;2016
01027;42.0;2021
01027;41.0;2016
01028;0.0;2021
01028;0.0;2016
01029;0.0;2021
01029;0.0;2016
01030;8.0;2021
01030;7.0;2016
01031;149.0;2021
01031;112.0;2016
01032;105.0;2021
01032;84.0;2016
01033;758.0;2021
01033;815.0;2016
01034;362.0;2021
01034;438.0;2016
01035;0.0;2021
01035;0.0;2016
01036;0.0;2021
01036;0.0;2016
01037;0.0;2021
01037;0.0;2016
01038;15.0;2021
01038;0.0;2016
01040;0.0;2021
01040;0.0;2016
01041;0.0;2021
01041;0.0;2016
01042;0.0;2021
01042;0.0;2016
01043;204.0;2021
01043;216.0;2016
01044;0.0;2021
01044;0.0;2016
01045;0.0;2021
01045;0.0;2016
01046;0.0;2021
01046;0.0;2016
01047;5.0;2021
01047;0.0;2016
01049;119.0;2021
01049;88.0;2016
01050;0.0;2021
01050;0.0;2016
01051;0.0;2021
01051;0.0;2016
01052;0.0;2021
01052;0.0;2016
01053;2693.0;2021
01053;2439.0;2016
01054;20.0;2021
01054;19.0;2016
01056;0.0;2021
01056;0.0;2016
01057;0.0;2021
01057;0.0;2016
01058;0.0;2021
01058;12.0;2016
01060;0.0;2021
01060;0.0;2016
01061;7.0;2021
01061;0.0;2016
01062;0.0;2021
01062;0.0;2016
01063;0.0;2021
01063;0.0;2016
01064;0.0;2021
01064;6.0;2016
01065;0.0;2021
01065;9.0;2016
01066;0.0;2021
01066;0.0;2016
01067;5.0;2021
01067;15.0;2016
01068;5.0;2021
01068;0.0;2016
01069;17.0;2021
01069;9.0;2016
01071;160.0;2021
01071;78.0;2016
01072;47.0;2021
01072;42.0;2016
01073;0.0;2021
01073;0.0;2016
01074;42.0;2021
01074;35.0;2016
01075;0.0;2021
01075;0.0;2016
01076;0.0;2021
01076;0.0;2016
01077;0.0;2021
01077;0.0;2016
01078;0.0;2021
01078;5.0;2016
01079;0.0;2021
01079;0.0;2016
01080;0.0;2021
01080;0.0;2016
01081;0.0;2021
01081;0.0;2016
01082;0.0;2021
01082;0.0;2016
01083;0.0;2021
01083;0.0;2016
01084;0.0;2021
01084;0.0;2016
01085;0.0;2021
01085;0.0;2016
01087;0.0;2021
01087;0.0;2016
01088;6.0;2021
01088;0.0;2016
01089;49.0;2021
01089;28.0;2016
01090;0.0;2021
01090;0.0;2016
01092;8.0;2021
01092;10.0;2016
01093;125.0;2021
01093;147.0;2016
01094;0.0;2021
01094;0.0;2016
01095;0.0;2021
01095;0.0;2016
01096;5.0;2021
01096;0.0;2016
01098;0.0;2021
01098;13.0;2016
01099;78.0;2021
01099;45.0;2016
01100;0.0;2021
01100;0.0;2016
01101;0.0;2021
01101;0.0;2016
01102;0.0;2021
01102;0.0;2016
01103;40.0;2021
01103;17.0;2016
01104;0.0;2021
01104;0.0;2016
01105;42.0;2021
01105;8.0;2016
01106;0.0;2021
01106;0.0;2016
01107;0.0;2021
01107;0.0;2016
01108;0.0;2021
01108;9.0;2016
01109;31.0;2021
01109;18.0;2016
01110;0.0;2021
01110;0.0;2016
01111;0.0;2021
01111;0.0;2016
01112;0.0;2021
01112;0.0;2016
01113;0.0;2021
01113;0.0;2016
01114;0.0;2021
01114;0.0;2016
01115;0.0;2021
01115;6.0;2016
01116;0.0;2021
01116;0.0;2016
01117;0.0;2021
01117;0.0;2016
01118;11.0;2021
01118;0.0;2016
01121;0.0;2021
01121;0.0;2016
01123;0.0;2021
01123;0.0;2016
01124;0.0;2021
01124;0.0;2016
01125;0.0;2021
01125;0.0;2016
01127;0.0;2021
01127;0.0;2016
01128;0.0;2021
01128;0.0;2016
01129;0.0;2021
01129;0.0;2016
01130;22.0;2021
01130;10.0;2016
01133;0.0;2021
01133;0.0;2016
01134;7.0;2021
01134;11.0;2016
01135;25.0;2021
01135;31.0;2016
01136;0.0;2021
01136;0.0;2016
01138;94.0;2021
01138;69.0;2016
01139;0.0;2021
01139;0.0;2016
01140;0.0;2021
01140;0.0;2016
01141;0.0;2021
01141;0.0;2016
01142;225.0;2021
01142;209.0;2016
01143;388.0;2021
01143;249.0;2016
01145;18.0;2021
01145;0.0;2016
01146;0.0;2021
01146;0.0;2016
01147;0.0;2021
01147;0.0;2016
01148;11.0;2021
01148;9.0;2016
01149;0.0;2021
01149;6.0;2016
01150;0.0;2021
01150;0.0;2016
01151;5.0;2021
01151;0.0;2016
01152;0.0;2021
01152;0.0;2016
01153;52.0;2021
01153;13.0;2016
01155;0.0;2021
01155;0.0;2016
01156;0.0;2021
01156;0.0;2016
01157;34.0;2021
01157;19.0;2016
01158;6.0;2021
01158;0.0;2016
01159;55.0;2021
01159;39.0;2016
01160;444.0;2021
01160;534.0;2016
01162;0.0;2021
01162;0.0;2016
01163;7.0;2021
01163;15.0;2016
01165;0.0;2021
01165;0.0;2016
01166;16.0;2021
01166;18.0;2016
01167;0.0;2021
01167;0.0;2016
01169;0.0;2021
01169;0.0;2016
01170;0.0;2021
01170;6.0;2016
01171;0.0;2021
01171;0.0;2016
01173;406.0;2021
01173;399.0;2016
01174;0.0;2021
01174;0.0;2016
01175;0.0;2021
01175;0.0;2016
01177;0.0;2021
01177;0.0;2016
01179;10.0;2021
01179;9.0;2016
01180;7.0;2021
01180;0.0;2016
01181;8.0;2021
01181;6.0;2016
01183;5.0;2021
01183;0.0;2016
01184;0.0;2021
01184;0.0;2016
01185;77.0;2021
01185;65.0;2016
01187;0.0;2021
01187;0.0;2016
01188;0.0;2021
01188;0.0;2016
01189;0.0;2021
01189;8.0;2016
01190;0.0;2021
01190;0.0;2016
01191;0.0;2021
01191;0.0;2016
01192;27.0;2021
01192;12.0;2016
01193;0.0;2021
01193;0.0;2016
01194;173.0;2021
01194;159.0;2016
01195;50.0;2021
01195;53.0;2016
01196;0.0;2021
01196;0.0;2016
01197;0.0;2021
01197;0.0;2016
01198;0.0;2021
01198;0.0;2016
01199;44.0;2021
01199;71.0;2016
01200;0.0;2021
01200;0.0;2016
01202;200.0;2021
01202;211.0;2016
01203;12.0;2021
01203;0.0;2016
01204;0.0;2021
01204;0.0;2016
01206;0.0;2021
01206;0.0;2016
01207;0.0;2021
01207;0.0;2016
01208;0.0;2021
01208;0.0;2016
01209;0.0;2021
01209;0.0;2016
01210;0.0;2021
01210;10.0;2016
01211;7.0;2021
01211;8.0;2016
01212;0.0;2021
01212;0.0;2016
01213;5.0;2021
01213;8.0;2016
01214;0.0;2021
01214;0.0;2016
01215;0.0;2021
01215;0.0;2016
01216;0.0;2021
01216;0.0;2016
01219;0.0;2021
01219;0.0;2016
01224;68.0;2021
01224;24.0;2016
01225;0.0;2021
01225;0.0;2016
01227;0.0;2021
01227;0.0;2016
01228;0.0;2021
01228;9.0;2016
01229;0.0;2021
01229;15.0;2016
01230;0.0;2021
01230;0.0;2016
01231;7.0;2021
01231;0.0;2016
01232;16.0;2021
01232;28.0;2016
01233;0.0;2021
01233;0.0;2016
01234;0.0;2021
01234;0.0;2016
01235;9.0;2021
01235;0.0;2016
01236;0.0;2021
01236;0.0;2016
01237;7.0;2021
01237;0.0;2016
01238;74.0;2021
01238;79.0;2016
01239;0.0;2021
01239;0.0;2016
01240;0.0;2021
01240;5.0;2016
01241;0.0;2021
