ID_Commune,Annee,Population_Totale,Pct_Jeunes,Pct_Seniors,Pct_Sans_Activite,Pct_Etrangere,Taille_Commune
01001,2021,832,24.76,19.83,28.37,2.16,2
01001,2017,776,27.45,18.81,22.94,2.58,2
01002,2021,267,28.84,17.6,28.46,1.12,1
01002,2017,248,27.02,18.15,34.68,1.21,1
01004,2021,14853,25.85,18.24,33.03,11.82,4
01004,2017,14036,26.8,16.7,32.04,10.54,4
01005,2021,1897,24.3,16.55,26.52,4.11,2
01005,2017,1689,26.23,15.51,28.66,3.91,2
01006,2021,113,12.39,28.32,22.12,3.54,1
01006,2017,111,13.51,23.42,27.03,7.21,1
01007,2021,2833,26.86,16.7,26.79,3.6,3
01007,2017,2726,27.48,16.25,26.41,3.6,3
01008,2021,768,23.44,13.8,25.52,3.26,2
01008,2017,752,23.94,13.56,25.13,3.32,2
01009,2021,322,20.81,28.88,33.23,4.35,1
01009,2017,330,22.12,27.58,32.42,4.24,1
01010,2021,1125,27.11,16.27,34.22,5.24,2
01010,2017,1115,28.7,15.87,25.11,5.29,2
01011,2021,383,28.72,19.32,31.07,3.13,1
01011,2017,376,28.46,17.29,37.23,2.13,1
01012,2021,327,23.85,23.24,46.79,2.45,1
01012,2017,326,23.93,26.07,38.34,2.45,1
01013,2021,141,14.89,27.66,57.45,2.84,1
01013,2017,144,25.0,20.14,17.36,70.14,1
01014,2021,3409,24.29,22.73,37.69,24.35,3
01014,2017,3367,24.95,20.08,40.99,23.02,3
01015,2021,667,20.99,25.64,35.08,3.15,2
01015,2017,644,21.27,25.16,34.78,3.11,2
01016,2021,459,27.67,21.79,29.85,3.27,1
01016,2017,463,29.59,18.57,31.53,2.38,1
01017,2021,432,23.61,24.07,44.68,4.86,1
01017,2017,442,25.57,21.49,46.61,3.85,1
01019,2021,26,15.38,30.77,100.0,11.54,1
01019,2017,28,21.43,25.0,100.0,7.14,1
01021,2021,1498,25.83,16.56,37.12,5.34,2
01021,2017,1408,26.42,15.84,37.36,5.54,2
01022,2021,1177,20.05,28.12,43.93,6.97,2
01022,2017,1237,22.23,23.28,41.88,6.71,2
01023,2021,77,24.68,18.18,19.48,100.0,1
01023,2017,66,24.24,18.18,19.7,100.0,1
01024,2021,3336,25.78,19.0,27.07,3.69,3
01024,2017,3211,28.28,16.13,31.45,3.58,3
01025,2021,4065,27.36,16.63,28.95,3.0,3
01025,2017,4092,27.96,16.18,28.52,3.01,3
01026,2021,979,21.86,25.54,33.2,3.88,2
01026,2017,923,22.1,25.68,33.15,3.9,2
01027,2021,2692,28.12,9.36,16.05,5.16,3
01027,2017,2684,26.83,8.61,14.79,4.99,3
01028,2021,621,29.47,17.55,28.18,3.06,2
01028,2017,602,25.58,13.79,30.56,2.66,2
01029,2021,700,22.43,18.0,25.43,2.86,2
01029,2017,689,23.66,17.42,37.01,2.76,2
